Zooplankton,"2,12","0,8962","0,9499","0,9748","0,9891","0,9969","1,0000","0,9992","0,9951","0,9881","0,9785","0,9664","0,9520","0,9355","0,9169","0,8963","0,8738","0,8494","0,8231","0,7950","0,7652","0,7336","0,7004","0,6655","0,6290","0,5909","0,5514","0,5106","0,4686","0,4256","0,3818","0,3375","0,2929","0,2486","0,2050","0,1628","0,1228","0,0860","0,0535","0,0271","0,0084",  -   ,"0,0048","0,0265","0,0700","0,1417","0,2501","0,4071","0,6267","0,8983","0,8887",,
Meiobenthos,"2,04",  -   ,"0,0551","0,1033","0,1477","0,1908","0,2335","0,2762","0,3193","0,3632","0,4083","0,4549","0,5034","0,5540","0,6069","0,6623","0,7198","0,7789","0,8384","0,8959","0,9471","0,9853","1,0000","0,9788","0,9161","0,8306","0,7650","0,7389","0,7342","0,7339","0,7339","0,7340","0,7341","0,7343","0,7345","0,7347","0,7348","0,7349","0,7350","0,7351","0,7352","0,7353","0,7353","0,7354","0,7354","0,7354","0,7354","0,7355","0,7355","0,7355","0,7355",,
Phytoplankton,"1,00","0,6992","0,7395","0,7686","0,7930","0,8148","0,8348","0,8533","0,8706","0,8867","0,9019","0,9160","0,9292","0,9414","0,9527","0,9629","0,9721","0,9800","0,9868","0,9921","0,9961","0,9987","0,9999","1,0000","0,9979","0,9935","0,9861","0,9748","0,9589","0,9376","0,9107","0,8812","0,8573","0,8423","0,8170","0,7071","0,4300","0,1743","0,0304","0,0010",  -   ,"0,0007","0,0013","0,0016","0,0018","0,0019","0,0019","0,0019","0,0019","0,0019","0,0019",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group name,,0,"0,02","0,04","0,06","0,08","0,1","0,12","0,14","0,16","0,18","0,2","0,22","0,24","0,26","0,28","0,3","0,32","0,34","0,36","0,38","0,4","0,42","0,44","0,46","0,48","0,5","0,52","0,54","0,56","0,58","0,6","0,62","0,64","0,66","0,68","0,7","0,72","0,74","0,76","0,78","0,8","0,82","0,84","0,86","0,88","0,9","0,92","0,94","0,96","0,98",,
Sea mammals,"3,94","2,04","1,91","1,62","1,52","1,48","1,47","1,44","1,43","1,41","1,36","1,30","1,22","1,13","1,02","0,85","0,67","0,44","0,20","-0,08","-0,36","-0,63","-0,86","-1,03","-1,11","-1,11","-1,02","-0,91","-0,81","-0,73","-0,67","-0,66","-0,64","-0,64","-0,64","-0,66","-0,66","-0,67","-0,66","-0,66","-0,66","-0,66","-0,66","-0,66","-0,66","-0,66","-0,67","-0,67","-0,67","-0,67","-0,67",,
Sharks / Rays,"3,92","-2,86","-2,49","-2,29","-1,95","-1,46","-0,90","-0,33","0,20","0,68","1,11","1,48","1,81","2,09","2,21","1,64","1,21","0,90","0,62","0,37","0,15","-0,02","-0,15","-0,24","-0,28","-0,29","-0,28","-0,25","-0,22","-0,18","-0,14","-0,11","-0,08","-0,06","-0,04","-0,02","-0,01","-0,00","0,00","0,00","0,01","0,01","0,01","0,02","0,02","0,02","0,02","0,02","0,02","0,02","0,02",,
Squid,"3,63","1,47","1,49","1,47","1,45","1,43","1,41","1,38","1,35","1,31","1,27","1,22","1,16","1,10","1,03","0,96","0,87","0,78","0,68","0,56","0,43","0,29","0,13","-0,04","-0,22","-0,40","-0,57","-0,72","-0,82","-0,89","-0,92","-0,93","-0,93","-0,93","-0,93","-0,93","-0,93","-0,93","-0,93","-0,93","-0,93","-0,93","-0,93","-0,93","-0,93","-0,93","-0,93","-0,93","-0,93","-0,93","-0,93",,
Carangidae,"3,46","1,72","1,83","1,86","1,85","1,81","1,74","1,66","1,56","1,45","1,33","1,20","1,05","0,90","0,74","0,57","0,41","0,24","0,07","-0,08","-0,23","-0,36","-0,46","-0,55","-0,62","-0,67","-0,71","-0,73","-0,75","-0,76","-0,76","-0,76","-0,76","-0,76","-0,76","-0,76","-0,76","-0,77","-0,77","-0,77","-0,77","-0,77","-0,77","-0,77","-0,77","-0,77","-0,77","-0,77","-0,77","-0,77","-0,77",,
Serranidae,"3,37","-2,39","-2,32","-2,29","-2,18","-2,01","-1,83","-1,63","-1,43","-1,22","-1,01","-0,80","-0,59","-0,39","-0,19","0,00","0,17","0,33","0,46","0,57","0,64","0,69","0,72","0,72","0,71","0,69","0,66","0,64","0,62","0,60","0,59","0,58","0,58","0,58","0,57","0,57","0,57","0,57","0,57","0,57","0,57","0,57","0,57","0,57","0,57","0,57","0,57","0,57","0,57","0,57","0,57",,
Clupaeidae,"2,96","-2,34","-1,96","-1,71","-1,53","-1,36","-1,20","-1,04","-0,89","-0,75","-0,60","-0,45","-0,30","-0,14","0,03","0,21","0,40","0,60","0,82","1,05","1,29","1,53","1,76","1,94","2,03","1,99","1,78","1,38","0,87","0,38","0,04","-0,13","-0,19","-0,20","-0,20","-0,20","-0,20","-0,20","-0,20","-0,20","-0,20","-0,20","-0,20","-0,19","-0,19","-0,19","-0,19","-0,19","-0,19","-0,19","-0,19",,
Lutjanidae,"2,85","1,72","1,82","1,85","1,83","1,79","1,73","1,65","1,56","1,45","1,34","1,21","1,06","0,91","0,75","0,59","0,42","0,25","0,08","-0,07","-0,22","-0,35","-0,46","-0,55","-0,62","-0,67","-0,71","-0,73","-0,75","-0,76","-0,76","-0,77","-0,77","-0,77","-0,77","-0,77","-0,77","-0,77","-0,77","-0,77","-0,77","-0,77","-0,77","-0,77","-0,77","-0,77","-0,77","-0,77","-0,77","-0,77","-0,77",,
Myctophidae,"2,69","1,70","1,76","1,75","1,71","1,66","1,60","1,54","1,47","1,40","1,31","1,22","1,12","1,01","0,89","0,76","0,62","0,48","0,32","0,16","-0,01","-0,17","-0,33","-0,47","-0,58","-0,67","-0,74","-0,78","-0,81","-0,82","-0,82","-0,82","-0,82","-0,82","-0,82","-0,82","-0,82","-0,81","-0,81","-0,81","-0,81","-0,81","-0,81","-0,81","-0,81","-0,81","-0,81","-0,81","-0,81","-0,81","-0,81",,
Shrimp,"2,12","1,64","1,66","1,64","1,62","1,59","1,56","1,52","1,47","1,41","1,35","1,28","1,20","1,10","1,00","0,87","0,74","0,58","0,40","0,21","-0,00","-0,22","-0,43","-0,60","-0,71","-0,77","-0,80","-0,80","-0,80","-0,80","-0,80","-0,80","-0,80","-0,80","-0,80","-0,80","-0,80","-0,80","-0,80","-0,80","-0,80","-0,80","-0,80","-0,80","-0,80","-0,80","-0,80","-0,80","-0,80","-0,80","-0,80",,
Zooplankton,"2,12","0,88","1,03","1,10","1,14","1,16","1,17","1,16","1,15","1,13","1,11","1,07","1,03","0,99","0,93","0,88","0,81","0,75","0,67","0,60","0,51","0,42","0,33","0,23","0,13","0,03","-0,08","-0,20","-0,31","-0,43","-0,55","-0,68","-0,80","-0,93","-1,05","-1,16","-1,28","-1,38","-1,47","-1,54","-1,59","-1,62","-1,60","-1,54","-1,42","-1,22","-0,92","-0,48","0,13","0,88","0,86",,
Meiobenthos,"2,04","-2,60","-2,37","-2,18","-2,00","-1,83","-1,65","-1,48","-1,31","-1,13","-0,95","-0,76","-0,57","-0,36","-0,15","0,08","0,31","0,55","0,79","1,02","1,23","1,38","1,44","1,35","1,10","0,75","0,49","0,38","0,37","0,36","0,36","0,37","0,37","0,37","0,37","0,37","0,37","0,37","0,37","0,37","0,37","0,37","0,37","0,37","0,37","0,37","0,37","0,37","0,37","0,37","0,37",,
Phytoplankton,"1,00","0,13","0,23","0,30","0,36","0,41","0,46","0,51","0,55","0,59","0,62","0,66","0,69","0,72","0,75","0,77","0,79","0,81","0,83","0,84","0,85","0,86","0,86","0,86","0,86","0,85","0,83","0,80","0,76","0,71","0,65","0,57","0,51","0,48","0,42","0,15","-0,53","-1,15","-1,50","-1,57","-1,58","-1,57","-1,57","-1,57","-1,57","-1,57","-1,57","-1,57","-1,57","-1,57","-1,57",,
